page,word_idx,word,question_image_version
question_07111,0,Ce,question_images_version_173
question_07111,1,purta,question_images_version_173
question_07111,2,călătorul,question_images_version_173
question_07111,3,când,question_images_version_173
question_07111,4,s-a,question_images_version_173
question_07111,5,întâlnit,question_images_version_173
question_07111,6,prima,question_images_version_173
question_07111,7,dată,question_images_version_173
question_07111,8,cu,question_images_version_173
question_07111,9,Vântul,question_images_version_173
question_07111,10,de,question_images_version_173
question_07111,11,Nord,question_images_version_173
question_07111,12,și,question_images_version_173
question_07111,13,cu,question_images_version_173
question_07111,14,Soarele?,question_images_version_173
Lit_NorthWind_7_question_07111_target,0,Călătorul,question_images_version_173
Lit_NorthWind_7_question_07111_target,1,purta,question_images_version_173
Lit_NorthWind_7_question_07111_target,2,o,question_images_version_173
Lit_NorthWind_7_question_07111_target,3,haină,question_images_version_173
Lit_NorthWind_7_question_07111_target,4,groasă.,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_a,0,Călătorul,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_a,1,purta,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_a,2,o,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_a,3,jachetă,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_a,4,groasă.,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_b,0,Călătorul,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_b,1,purta,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_b,2,o,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_b,3,jachetă,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_b,4,strâmtă.,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_c,0,Călătorul,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_c,1,purta,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_c,2,o,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_c,3,pălărie,question_images_version_173
Lit_NorthWind_7_question_07111_distractor_c,4,călduroasă.,question_images_version_173
question_07131,0,Ce,question_images_version_173
question_07131,1,fel,question_images_version_173
question_07131,2,de,question_images_version_173
question_07131,3,categorie,question_images_version_173
question_07131,4,de,question_images_version_173
question_07131,5,text,question_images_version_173
question_07131,6,reprezintă,question_images_version_173
question_07131,7,textul?,question_images_version_173
Lit_NorthWind_7_question_07131_target,0,O,question_images_version_173
Lit_NorthWind_7_question_07131_target,1,poveste,question_images_version_173
Lit_NorthWind_7_question_07131_target,2,morală.,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_a,0,O,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_a,1,poveste,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_a,2,de,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_a,3,călătorie.,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_b,0,Un,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_b,1,buletin,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_b,2,meteo.,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_c,0,O,question_images_version_173
Lit_NorthWind_7_question_07131_distractor_c,1,poezie.,question_images_version_173
page_1,0,Vântul,
page_1,1,de,
page_1,2,Nord,
page_1,3,și,
page_1,4,Soarele,
page_1,5,Vântul,
page_1,6,de,
page_1,7,Nord,
page_1,8,și,
page_1,9,Soarele,
page_1,10,se,
page_1,11,"certau,",
page_1,12,fiecare,
page_1,13,pretinzând,
page_1,14,că,
page_1,15,el,
page_1,16,era,
page_1,17,mai,
page_1,18,"puternic,",
page_1,19,când,
page_1,20,a,
page_1,21,venit,
page_1,22,un,
page_1,23,călător,
page_1,24,purtând,
page_1,25,o,
page_1,26,haină,
page_1,27,grea.,
page_1,28,Ei,
page_1,29,s-au,
page_1,30,înțeles,
page_1,31,că,
page_1,32,cel,
page_1,33,care,
page_1,34,va,
page_1,35,reuși,
page_1,36,să-l,
page_1,37,determine,
page_1,38,pe,
page_1,39,călător,
page_1,40,să,
page_1,41,își,
page_1,42,scoată,
page_1,43,haina,
page_1,44,va,
page_1,45,fi,
page_1,46,recunoscut,
page_1,47,drept,
page_1,48,cel,
page_1,49,mai,
page_1,50,puternic.,
page_1,51,Vântul,
page_1,52,de,
page_1,53,Nord,
page_1,54,suflă,
page_1,55,cât,
page_1,56,putu,
page_1,57,de,
page_1,58,"tare,",
page_1,59,dar,
page_1,60,cu,
page_1,61,cât,
page_1,62,sufla,
page_1,63,mai,
page_1,64,"tare,",
page_1,65,cu,
page_1,66,atât,
page_1,67,călătorul,
page_1,68,își,
page_1,69,strângea,
page_1,70,mai,
page_1,71,bine,
page_1,72,haina,
page_1,73,în,
page_1,74,jurul,
page_1,75,"său,",
page_1,76,iar,
page_1,77,într-un,
page_1,78,final,
page_1,79,Vântul,
page_1,80,de,
page_1,81,Nord,
page_1,82,a,
page_1,83,fost,
page_1,84,nevoit,
page_1,85,să,
page_1,86,renunțe.,
page_1,87,"Atunci,",
page_1,88,Soarele,
page_1,89,a,
page_1,90,început,
page_1,91,să,
page_1,92,"strălucească,",
page_1,93,și,
page_1,94,călătorul,
page_1,95,și-a,
page_1,96,dat,
page_1,97,imediat,
page_1,98,haina,
page_1,99,jos.,
page_1,100,Și,
page_1,101,"astfel,",
page_1,102,Vântul,
page_1,103,de,
page_1,104,Nord,
page_1,105,a,
page_1,106,trebuit,
page_1,107,să,
page_1,108,recunoască,
page_1,109,faptul,
page_1,110,că,
page_1,111,Soarele,
page_1,112,era,
page_1,113,mai,
page_1,114,puternic.,
