timestamp	trial_number	stimulus_number	page_number	screen_onset_timestamp	keypress_timestamp	key_pressed	question	answer_correct	message
13677.502700011246	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATE:2025-03-31
13681.616300018504	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** EXP_START_TIMESTAMP:1743426521
13685.83580001723	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_ID:1
13690.010699996492	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** PARTICIPANT_ID:023
13695.327499997802	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATASET_TYPE:pilot_sessions
13699.561200017342	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_MODE:pilot
31772.755900019547	<NA>	<NA>	instruction_screen_1	25570.99730000482	31772.7405000187	space	False	<NA>	stop showing: instruction_screen_1
39100.84990001633	<NA>	<NA>	instruction_screen_2	31789.351200015517	39100.83740000846	space	False	<NA>	stop showing: instruction_screen_2
47356.968600011896	<NA>	<NA>	instruction_screen_3	39116.07469999581	47356.9553999987	space	False	<NA>	stop showing: instruction_screen_3
133996.4901000203	<NA>	<NA>	practice_start_screen	103796.20559999603	space	133996.4603999979	False	<NA>	stop showing: practice_start_screen
146844.37520001666	1	13	1	137043.9765000192	146844.30460000294	space	False	<NA>	showing: Enc_WikiMoon
168332.34759999323	1	13	2	151332.43189999484	168332.2718999989	space	False	<NA>	showing: Enc_WikiMoon
173020.38860000903	1	<NA>	familiarity_rating_screen_1	169207.66159999766	173020.3152000031	option_1	False	<NA>	rating screen: familiarity_rating_screen_1
175228.16620001686	1	<NA>	familiarity_rating_screen_2	173040.16090001096	175228.1053000188	option_5	False	<NA>	rating screen: familiarity_rating_screen_2
177692.00589999673	1	<NA>	subject_difficulty_screen	175234.98410001048	177691.9454000017	option_2	False	<NA>	rating screen: subject_difficulty_screen
183118.95400000503	1	13	13121	183118.9374999958	183116.57090001972	left	True	False	preliminary answer: distractor_b_key
188876.20140000945	1	13	13121	183118.9374999958	188876.1834000179	space	True	False	preliminary answer: final_confirmation
188878.89789999463	1	13	13121	177731.21940001147	188876.1834000179	left	True	False	FINAL ANSWER: correct answer is 'up' (Durata egală a perioadei de rotație a Lunii și timpul necesar pentru a orbita în jurul Pământului.), participant's answer is False
192366.3324000081	1	13	13131	192366.30360002164	192364.0559000196	right	True	False	preliminary answer: distractor_a_key
193068.48450002144	1	13	13131	192366.30360002164	193068.4700999991	space	True	False	preliminary answer: final_confirmation
193083.464299998	1	13	13131	188885.48240001546	193068.4700999991	right	True	False	FINAL ANSWER: correct answer is 'left' (Deoarece este singurul satelit al Pământului și exercită o forță gravitațională.), participant's answer is False
213084.01300001424	2	7	1	196518.00030001323	213083.94420001423	space	False	<NA>	showing: Lit_NorthWind
216891.9952000142	2	<NA>	familiarity_rating_screen_1	213966.18489999673	216891.92369999364	option_1	False	<NA>	rating screen: familiarity_rating_screen_1
218123.96029999945	2	<NA>	familiarity_rating_screen_2	216911.64850001223	218123.8841000013	option_5	False	<NA>	rating screen: familiarity_rating_screen_2
220619.96480001835	2	<NA>	subject_difficulty_screen	218142.95790001052	220619.90479999804	option_2	False	<NA>	rating screen: subject_difficulty_screen
225886.29789999686	2	7	7111	225886.2866999989	225884.10180000938	left	True	True	preliminary answer: target_key
228395.76750001288	2	7	7111	225886.2866999989	228395.75280001736	space	True	True	preliminary answer: final_confirmation
228411.19100002106	2	7	7111	220626.57480000053	228395.75280001736	left	True	True	FINAL ANSWER: correct answer is 'left' (Călătorul purta o haină groasă.), participant's answer is True
231278.398800001	2	7	7131	231278.38390000397	231276.08500001952	left	True	False	preliminary answer: distractor_a_key
234779.7167999961	2	7	7131	231278.38390000397	234779.70290000667	space	True	False	preliminary answer: final_confirmation
