timestamp	trial_number	stimulus_number	page_number	screen_onset_timestamp	keypress_timestamp	key_pressed	question	answer_correct	message
45927.62119998224	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATE:2025-04-14
45929.04149997048	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** EXP_START_TIMESTAMP:1744634690
45930.13710004743	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_ID:1
45931.12209998071	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** PARTICIPANT_ID:008
45931.90590001177	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATASET_TYPE:pilot_sessions
45932.352200034074	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_MODE:pilot
85059.00400003884	<NA>	<NA>	instruction_screen_1	83491.02209997363	85058.99719998706	space	False	<NA>	stop showing: instruction_screen_1
85796.31380003411	<NA>	<NA>	instruction_screen_2	85070.82060002722	85796.30300006829	space	False	<NA>	stop showing: instruction_screen_2
86358.06090000551	<NA>	<NA>	instruction_screen_3	85808.45899996348	86358.0519000534	space	False	<NA>	stop showing: instruction_screen_3
146450.96070005093	<NA>	<NA>	practice_start_screen	134133.91410000622	space	146450.95149998087	False	<NA>	stop showing: practice_start_screen
167763.158799964	1	13	1	149591.25179995317	167763.1027000025	space	False	<NA>	showing: Enc_WikiMoon
218084.29370005615	1	13	2	172622.0455999719	218084.23130004667	space	False	<NA>	showing: Enc_WikiMoon
228100.02630006056	1	<NA>	familiarity_rating_screen_1	218968.34929997567	228099.9710999895	option_1	False	<NA>	rating screen: familiarity_rating_screen_1
238147.10329996888	1	<NA>	familiarity_rating_screen_2	228106.05419997592	238147.0484000165	option_4	False	<NA>	rating screen: familiarity_rating_screen_2
244515.03600005526	1	<NA>	subject_difficulty_screen	238160.12320003938	244514.97490005568	option_2	False	<NA>	rating screen: subject_difficulty_screen
254550.35969999153	1	13	13121	254550.33220001496	254547.16019995976	up	True	True	preliminary answer: target_key
255093.70820003096	1	13	13121	255093.70199998375	255090.86150000803	left	True	False	preliminary answer: distractor_b_key
269203.01489997655	1	13	13121	255093.70199998375	269203.00540002063	space	True	False	preliminary answer: final_confirmation
269211.67990006506	1	13	13121	244536.25010000542	269203.00540002063	left	True	False	FINAL ANSWER: correct answer is 'up' (Durata egală a perioadei de rotație a Lunii și timpul necesar pentru a orbita în jurul Pământului.), participant's answer is False
285830.6156999897	1	13	13131	285830.6096000597	285827.05580000766	left	True	False	preliminary answer: distractor_b_key
286309.94339997414	1	13	13131	286309.9378000479	286306.9830000168	down	True	True	preliminary answer: target_key
291202.8986000223	1	13	13131	286309.9378000479	291202.8878000565	space	True	True	preliminary answer: final_confirmation
291210.8703999547	1	13	13131	269215.8960000379	291202.8878000565	down	True	True	FINAL ANSWER: correct answer is 'down' (Deoarece este singurul satelit al Pământului și exercită o forță gravitațională.), participant's answer is True
347635.09670004714	2	7	1	295016.13250002265	347635.0296000019	space	False	<NA>	showing: Lit_NorthWind
352531.11169999465	2	<NA>	familiarity_rating_screen_1	348513.46499996725	352531.06569999363	option_1	False	<NA>	rating screen: familiarity_rating_screen_1
358611.1998000415	2	<NA>	familiarity_rating_screen_2	352544.5971000008	358611.1385000404	option_5	False	<NA>	rating screen: familiarity_rating_screen_2
365299.01950003114	2	<NA>	subject_difficulty_screen	358624.6618999867	365298.9674999844	option_1	False	<NA>	rating screen: subject_difficulty_screen
